基金名稱,類型,幣別,國泰世華,元大銀行,兆豐銀行,高雄銀行,渣打銀行,華泰銀行,京城銀行,將來銀行,連線銀行,永豐銀行,台中商銀,瑞興銀行,王道銀行,中國信託,玉山銀行,板信商銀,三信銀行,彰化銀行,巴黎銀行,陽信銀行,華南銀行,土地銀行,滙豐銀行,遠東銀行,星展銀行,花旗銀行(併入星展銀行),安泰銀行,臺灣企銀,上海銀行,聯邦銀行,台灣銀行,凱基銀行,第一銀行,台北富邦銀行,日盛銀行(併入台北富邦銀),台新銀行,新光銀行,瑞士銀行,合作金庫
高盛全球投資級信用債券基金,前收年配,美元避險,X,X,X,X,X,X,X,X,X,L00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
高盛全球投資級信用債券基金,前收累積,美元避險,X,X,X,X,X,X,X,X,X,L48,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
高盛全球投資級信用債券基金,前收穩定資本月配息,美元避險,X,X,X,X,X,X,X,X,X,L4C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
高盛全球投資級信用債券基金,前收累積,日圓避險,X,X,X,X,X,X,X,X,X,L4D,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
高盛全球投資級信用債券基金,前收穩定資本月配息,日圓避險,X,X,X,X,X,X,X,X,X,L4E,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
高盛全球投資級信用債券基金,前收累積,澳幣避險,X,X,X,X,X,X,X,X,X,●,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
高盛全球投資級信用債券基金,前收穩定資本月配息,澳幣避險,X,X,X,X,X,X,X,X,X,●,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
