基金名稱,類型,幣別,國泰世華,元大銀行,兆豐銀行,高雄銀行,渣打銀行,華泰銀行,京城銀行,將來銀行,連線銀行,永豐銀行,台中商銀,瑞興銀行,王道銀行,中國信託,玉山銀行,板信商銀,三信銀行,彰化銀行,巴黎銀行,陽信銀行,華南銀行,土地銀行,滙豐銀行,遠東銀行,星展銀行,花旗銀行(併入星展銀行),安泰銀行,臺灣企銀,上海銀行,聯邦銀行,台灣銀行,凱基銀行,第一銀行,台北富邦銀行,日盛銀行(併入台北富邦銀),台新銀行,新光銀行,瑞士銀行,合作金庫
駿利亨德森資產管理基金-駿利亨德森平衡基金,前收累積,美元,00180017,1317,1509,2603,00130007,0710,00080009,X,V,JA9,1305,1316,JA004,"01900004
01980004(樂退GO)",VV09,JC01 ,X,4103,X,X,"2058-配現
2009-配權",0907,1404,JS11,15007,JBLA1,3805,●,2004,1902,1705,JU03,YA03,6704,1107,JAA3,6107,X,1106
駿利亨德森資產管理基金-駿利亨德森平衡基金,前收累積,歐元避險,00180018,1318,1510,2616,00130008,0711,00080010,X,●,JB0,◎1315,●,JA006,●,VV10,●,X,4113,X,X,●,0937,1443,JS61,15008,JBEA1,3855,●,2051,1913,●,JU12,YA15,6734,1108,●,●,X,◎1124
駿利亨德森資產管理基金-駿利亨德森平衡基金,前收累積,澳幣避險,00180074,●,●,●,●,●,●,X,●,●,●,1327,JA009,●,VV39,●,X,●,X,X,2044,●,●,JS77,●,●,●,●,2052,●,●,JU41,YA17,6717,●,●,●,X,●
駿利亨德森資產管理基金-駿利亨德森平衡基金,前收月配,美元,00180073,1347,1568,●,●,●,●,X,V,JG0,●,1324,JA005,◎01900090,VV35,JC02 ,X,4167,X,X,"2038-配現
2039-配權",0942,1414,JS16,●,●,●,●,2054,1938,1716,JU39,YA13,6755,1197,JAA4,6135,X,●
駿利亨德森資產管理基金-駿利亨德森平衡基金,前收月配,歐元避險,●,1348,1569,●,●,●,●,X,●,JG1,●,1326,JA007,●,VV36,●,X,4168,X,X,"◎2040-配現
2041-配權",●,●,JS78,●,●,●,●,2055,1939,1719,JU40,YA16,6756,1198,JAA5,●,X,●
駿利亨德森資產管理基金-駿利亨德森平衡基金,前收月配,澳幣避險,●,1349,1570,●,●,●,●,X,●,JG2,●,1325,JA008,01900091,VV38,●,X,●,X,X,●,0943,1415,JS17,●,●,●,●,2056,1940,1717,JU42,YA18,6758,1199,JAA6,6136,X,●
駿利亨德森資產管理基金-駿利亨德森平衡基金,前收月配,加幣避險,●,1350,●,●,●,●,●,X,●,●,●,●,JA010,●,VV37,●,X,●,X,X,2046,●,●,●,●,●,●,●,2053,●,1718,JU43,●,6757,●,●,●,X,●
駿利亨德森資產管理基金-駿利亨德森平衡基金,前收穩月配,美元,●,●,1571,●,●,●,●,X,V,JG3,●,1328,JA040,01900105,VV40,●,X,4166,X,X,2049,0944,●,JS28,●,●,3865,●,2057,1941,1720,JU44,YA21,6725,●,JAB3,6137,X,1136
駿利亨德森資產管理基金-駿利亨德森平衡基金,後收累積,美元,●,●,●,●,●,●,●,X,●,JL4,●,●,●,01900108,TV09,●,X,9N01,X,X,2059,●,●,UH01,●,●,●,●,●,CJ01,●,JT01,YT01,AV03,●,JBA1,6G06,X,●
駿利亨德森資產管理基金-駿利亨德森平衡基金,後收穩月配,美元,●,●,●,●,●,●,●,X,●,JL5,●,●,●,01900109,TV40,●,X,9N02,X,X,2056,●,●,UH02,●,●,●,●,●,CJ02,●,JT02,YT02,AV04,●,JBA2,6G07,X,●
