基金名稱,類型,幣別,國泰世華,元大銀行,兆豐銀行,高雄銀行,渣打銀行,華泰銀行,京城銀行,將來銀行,連線銀行,永豐銀行,台中商銀,瑞興銀行,王道銀行,中國信託,玉山銀行,板信商銀,三信銀行,彰化銀行,巴黎銀行,陽信銀行,華南銀行,土地銀行,滙豐銀行,遠東銀行,星展銀行,花旗銀行(併入星展銀行),安泰銀行,臺灣企銀,上海銀行,聯邦銀行,台灣銀行,凱基銀行,第一銀行,台北富邦銀行,日盛銀行(併入台北富邦銀),台新銀行,新光銀行,瑞士銀行,合作金庫
野村全天候環球債券基金,前收累積,美元,●,●,X,X,X,5555,●,●,●,●,X,D261,●,●,●,●,●,●,●,●,8D70,●,●,●,●,X,●,●,7H31,ZB55,DE35,●,52DV,●,,●,●,X,●
野村全天候環球債券基金,前收月配,美元,●,●,X,X,X,5556,●,●,●,●,X,D262,●,●,●,●,●,●,●,●,8D71,●,●,●,●,X,●,●,7H32,ZB56,DE36,●,52DW,●,,●,●,X,●
野村全天候環球債券基金,前收月配,日幣,●,●,X,X,X,5557,●,●,●,●,X,D263,●,●,●,●,●,●,●,●,8D72,●,●,●,●,X,●,●,7Z29,ZB57,DE37,●,52DX,●,,●,●,X,●
野村全天候環球債券基金,後收累積,新臺幣,●,●,X,X,X,C313,●,●,●,●,X,I725,●,●,●,●,●,●,●,●,6105,●,●,●,●,X,●,●,6922,VK24,N515,●,96AU,●,,●,●,X,●
野村全天候環球債券基金,後收月配,新臺幣,●,●,X,X,X,C314,●,●,●,●,X,I726,●,●,●,●,●,●,●,●,6106,●,●,●,●,X,●,●,6923,VK25,N516,●,96AV,●,,●,●,X,●
野村全天候環球債券基金,後收累積,美元,●,●,X,X,X,D315,●,●,●,●,X,J730,●,●,●,●,●,●,●,●,8D73,●,●,●,●,X,●,●,6I26,YD27,P518,●,96AW,●,,●,●,X,●
野村全天候環球債券基金,後收月配,美元,●,●,X,X,X,D316,●,●,●,●,X,J731,●,●,●,●,●,●,●,●,8D74,●,●,●,●,X,●,●,6I27,YD28,P519,●,96AX,●,,●,●,X,●
野村全天候環球債券基金,後收月配,日幣,●,●,X,X,X,D317,●,●,●,●,X,J732,●,●,●,●,●,●,●,●,8D75,●,●,●,●,X,●,●,6I28,YD29,P520,●,96AY,●,,●,●,X,●
野村臺灣創新科技50 ETF連結基金,前收累積,新臺幣,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,52DY1,X,X,X,X,X,X
野村臺灣創新科技50 ETF連結基金,前收半年配,新臺幣,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,52DZ2,X,X,X,X,X,X
野村美國增長股票ETF組合基金,前收累積,新臺幣,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,52EA8,X,X,X,X,X,X
野村美國增長股票ETF組合基金,前收月配,新臺幣,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,52EB9,X,X,X,X,X,X
野村美國增長股票ETF組合基金,前收累積,美元,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,52EC0,X,X,X,X,X,X
野村美國增長股票ETF組合基金,前收月配,美元,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,52ED1,X,X,X,X,X,X
野村美國增長股票ETF組合基金,後收月配,新臺幣,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,96BA9,X,X,X,X,X,X
野村美國增長股票ETF組合基金,後收月配,美元,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,96BB0,X,X,X,X,X,X
野村混合資本公司債券私募基金,前收累積,美元,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,7Q01(OBU),X,X,X,X,X,X,X,X,X,X
野村混合資本公司債券私募基金,前收月配,美元,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,7Q02(OBU),X,X,X,X,X,X,X,X,X,X
野村混合資本公司債券私募基金,後收月配,美元,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,7R01(OBU),X,X,X,X,X,X,X,X,X,X
