基金名稱,類型,幣別,國泰世華,元大銀行,兆豐銀行,高雄銀行,渣打銀行,華泰銀行,京城銀行,將來銀行,連線銀行,永豐銀行,台中商銀,瑞興銀行,王道銀行,中國信託,玉山銀行,板信商銀,三信銀行,彰化銀行,巴黎銀行,陽信銀行,華南銀行,土地銀行,滙豐銀行,遠東銀行,星展銀行,花旗銀行(併入星展銀行),安泰銀行,臺灣企銀,上海銀行,聯邦銀行,台灣銀行,凱基銀行,第一銀行,台北富邦銀行,日盛銀行(併入台北富邦銀),台新銀行,新光銀行,瑞士銀行,合作金庫
高盛大中華股票基金,前收累積,美元,00740022,3316,1G48,3B09,X,8602,00270006,X,●,65Z,3702,0417,NN056,04100014,AP17,IN22,7821,3804,V,AG01,4715,3027,●,AL03,351210,X,3701,9703,3908,AD33,0228,NG20,●,9912,2633,IGE8,9422,●,3815
高盛大中華股票基金,後收累積,美元,0074B065,3376,2G48,3B69,X,8113,00330002,X,X,◎67X,37BB,0443,NP037,04100069,BP17,IN01,78Y6,3882,X,3701,4760,8617,X,BL03,X,X,0B05,9787,F108,AN12,X,NY06,X,AD11,2640,IYC5,9713,X,●
高盛日本股票基金,前收累積,美元,●,3344,●,●,X,●,●,X,●,●,3738,0419,NN015,●,●,IN23,7824,3857,●,AG03,4738,◎3026,●,●,●,X,3703,9702,●,AD31,0225,NG19,●,●,2632,●,●,●,●
高盛日本股票基金,前收累積,對沖美元,●,33A1,●,●,X,8637,00270031,X,●,●,3739,●,NN016,04100068,●,IN75,7849,3858,●,●,●,●,●,●,●,X,●,9711,●,AD60,●,●,●,●,●,●,●,●,●
高盛日本股票基金,前收累積,日圓,●,3343,●,●,X,●,●,X,●,●,3737,0418,NN014,04100022,AP26,IN45,7823,3803,V,AG04,4716,◎3025,●,●,351211,X,3702,9701,●,AD32,0224,NG18,●,9911,2607,●,9426,●,3810
高盛日本股票基金,後收累積,對沖美元,●,3395,●,●,X,8123,00330021,X,X,●,37FD,●,NP039,04100084,●,IN76,●,3868,X,●,●,●,X,●,X,X,●,9788,●,AN35,X,●,X,AD16,●,●,●,X,●
高盛環球社會影響力基金,前收累積,美元,00740027,3337,●,●,X,8632,●,X,X,61H,●,0434,NN040,04100017,AP64,IN26,7817,3830,●,AG07,●,◎3023,●,AL46,●,X,●,●,●,AD36,0237,NG41,●,9961,2619,●,9467,●,3890
高盛環球社會影響力基金,前收累積,歐元,●,3338,●,●,X,●,●,X,X,61I,●,0435,NN041,04100113,AP65,●,7818,38A8,●,AG08,●,◎3024,●,AL47,●,X,●,●,●,AD37,0238,NG42,●,9991,2621,●,9468,●,3891
高盛環球社會影響力基金,前收月配,美元,●,●,●,●,X,●,●,X,●,●,●,●,●,●,AP68,IN0E,●,38A9,●,●,●,●,●,●,●,X,●,●,●,●,●,●,●,●,X,●,●,●,●
高盛環球社會影響力基金,前收月配,對沖澳幣,●,●,●,●,X,●,●,X,●,●,●,●,●,●,●,IN0F,●,●,●,●,●,●,●,●,●,X,●,●,●,●,●,●,●,●,X,●,●,●,●
高盛環球社會影響力基金,後收累積,美元,●,●,●,●,X,●,●,X,X,●,●,●,●,●,●,●,●,◎38N8,●,●,●,●,X,●,●,X,●,●,●,●,●,●,●,AD37,X,●,●,●,●
