基金名稱,類型,幣別,國泰世華,元大銀行,兆豐銀行,高雄銀行,渣打銀行,華泰銀行,京城銀行,將來銀行,連線銀行,永豐銀行,台中商銀,瑞興銀行,王道銀行,中國信託,玉山銀行,板信商銀,三信銀行,彰化銀行,巴黎銀行,陽信銀行,華南銀行,土地銀行,滙豐銀行,遠東銀行,星展銀行,花旗銀行(併入星展銀行),安泰銀行,臺灣企銀,上海銀行,聯邦銀行,台灣銀行,凱基銀行,第一銀行,台北富邦銀行,日盛銀行(併入台北富邦銀),台新銀行,新光銀行,瑞士銀行,合作金庫
晉達環球策略基金 - 亞洲股票基金,前收累積,美元,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,●,X,X,NAEAU,X,X,X,X,X,X,X,X,X,X,X,X,X
晉達環球策略基金 - 亞洲股票基金,前收配息,美元,00470016,2018,2311,3019,00170016,X,00110032,X,X,"IQ9(配權)
IR1(年配息)",2011,1721,IN006,02500033,●,X,9004,1214,●,●,2525,1119,●,AK05,●,●,1319,1828,3123,2325(配權),B521(除權),IA20,DA12,6825,"1623(配現)
1625(配權)","VBD2(配現)
VAD2(配權)","6328(除息)
6329(除權)",◎V(下架),2210
晉達環球策略基金 - 美元貨幣基金,前收配息,美元,●,2041,◎2316,3011,00170015,X,●,X,X,"IO1(配息)
IP0(配權)",2071,1738,IN028,●,AC11,●,●,1218,◎V,●,2528,X,●,◎AK91,●,IUMFU,●,●,3121,2311(配權),◎B518(除權),IA11,●,"6821(除息)
◎BD21(除權)",1608,"◎VBB1(半年配現)
◎VAC5(半年配權)",6311,●,2291
晉達環球策略基金 - 美元貨幣基金,前收配息,美元,●,2047,◎2343,●,●,X,●,X,X,◎IX8,●,●,●,02500011,●,●,X,●,●,●,●,X,X,●,●,●,●,1841,●,●,●,●,●,◎6827,●,●,●,●,2293
晉達環球策略基金 - 美國股票基金,前收配息,美元,00470001,2005,●,3001,00170001,X,●,X,X,"◎IN1(配息)
◎IQ0(配權)",2001,1722,IN005,02500001,AB01,IG01,●,●,●,0701,2509,1109,●,AK01,13006,●,1301,1801,3105,2301(配權),"1507(除息)
B507(除權)",IA01,DA02,"6801(除息)
◎BD01(除權)",1605,"◎VAB4
◎VAA1(息)",6301,●,2201
晉達環球策略基金 - 英國ALPHA基金,前收配息,英磅,●,2016,2333,3016,●,X,●,X,X,"◎IO5(配息)
◎IQ6(配權)",◎2009,●,●,●,●,IG13,9005,1209,●,●,2520,◎1115,●,AK04,●,●,1313,1822,●,2318(配權),"1513(除息)
B513(除權)",IA17,●,"6809(除息)
◎BD09(除權)",1615,●,6323,●,2208
晉達環球策略基金 - 英鎊貨幣基金,前收配息,英磅,●,◎2019,●,●,●,X,●,X,X,"IR0(配權)
IR2(半年配息)",◎2073,●,●,02500032,●,X,●,1220,◎V,●,●,1120,●,◎AK92,●,X,●,●,X,2328(配權),◎B520(配權),IA24,●,6826,●,●,"6326(除息)
6327(除權)",●,2294
晉達環球策略基金 - 新興市場公司債券基金,前收累積,美元,●,●,●,●,●,X,●,X,X,●,X,X,X,●,●,●,X,●,●,●,●,X,●,●,●,●,●,●,X,●,●,X,●,●,●,●,●,●,●
晉達環球策略基金 - 新興市場公司債券基金,前收累積,美元,●,2038,◎2334,3047,●,X,00110044,X,X,"IW2(配息)
IW3(配權)",2051,1708,IN020,02500044,●,●,●,1227,●,0754,2537,1174,●,AK15,●,●,1332,1850,●,●,"1536(除息)
B536(除權)",X,●,●,1643,●,6339,●,2275
晉達環球策略基金 - 新興市場公司債券基金,前收配息,美元,●,●,●,●,●,X,●,X,X,●,X,X,X,●,●,●,X,●,●,●,●,X,●,●,●,●,●,●,X,●,●,X,●,●,●,●,●,●,●
